# K. A. Miernik
#ID	WORDS	CH X	CH Y	TITLE
100	2	16384	0	Mod 1 Ch 0
101	2	16384	0	Mod 1 Ch 1
102	2	16384	0	Mod 1 Ch 2
103	2	16384	0	Mod 1 Ch 3
104	2	16384	0	Mod 1 Ch 4
105	2	16384	0	Mod 1 Ch 5
106	2	16384	0	Mod 1 Ch 6
107	2	16384	0	Mod 1 Ch 7
108	2	16384	0	Mod 1 Ch 8
109	2	16384	0	Mod 1 Ch 9
110	2	16384	0	Mod 1 Ch 10
111	2	16384	0	Mod 1 Ch 11
112	2	16384	0	Mod 1 Ch 12
113	2	16384	0	Mod 1 Ch 13
114	2	16384	0	Mod 1 Ch 14
115	2	16384	0	Mod 1 Ch 15
200	2	16384	0	Mod 2 Ch 0
201	2	16384	0	Mod 2 Ch 1
202	2	16384	0	Mod 2 Ch 2
203	2	16384	0	Mod 2 Ch 3
204	2	16384	0	Mod 2 Ch 4
205	2	16384	0	Mod 2 Ch 5
206	2	16384	0	Mod 2 Ch 6
207	2	16384	0	Mod 2 Ch 7
208	2	16384	0	Mod 2 Ch 8
209	2	16384	0	Mod 2 Ch 9
210	2	16384	0	Mod 2 Ch 10
211	2	16384	0	Mod 2 Ch 11
212	2	16384	0	Mod 2 Ch 12
213	2	16384	0	Mod 2 Ch 13
214	2	16384	0	Mod 2 Ch 14
215	2	16384	0	Mod 2 Ch 15
300	2	16384	0	Mod 3 Ch 0
301	2	16384	0	Mod 3 Ch 1
302	2	16384	0	Mod 3 Ch 2
303	2	16384	0	Mod 3 Ch 3
304	2	16384	0	Mod 3 Ch 4
305	2	16384	0	Mod 3 Ch 5
306	2	16384	0	Mod 3 Ch 6
307	2	16384	0	Mod 3 Ch 7
308	2	16384	0	Mod 3 Ch 8
309	2	16384	0	Mod 3 Ch 9
310	2	16384	0	Mod 3 Ch 10
311	2	16384	0	Mod 3 Ch 11
312	2	16384	0	Mod 3 Ch 12
313	2	16384	0	Mod 3 Ch 13
314	2	16384	0	Mod 3 Ch 14
315	2	16384	0	Mod 3 Ch 15
400	2	16384	0	Mod 4 Ch 0
401	2	16384	0	Mod 4 Ch 1
402	2	16384	0	Mod 4 Ch 2
403	2	16384	0	Mod 4 Ch 3
404	2	16384	0	Mod 4 Ch 4
405	2	16384	0	Mod 4 Ch 5
406	2	16384	0	Mod 4 Ch 6
407	2	16384	0	Mod 4 Ch 7
408	2	16384	0	Mod 4 Ch 8
409	2	16384	0	Mod 4 Ch 9
410	2	16384	0	Mod 4 Ch 10
411	2	16384	0	Mod 4 Ch 11
412	2	16384	0	Mod 4 Ch 12
413	2	16384	0	Mod 4 Ch 13
414	2	16384	0	Mod 4 Ch 14
415	2	16384	0	Mod 4 Ch 15
500	2	16384	0	Mod 5 Ch 0
501	2	16384	0	Mod 5 Ch 1
502	2	16384	0	Mod 5 Ch 2
503	2	16384	0	Mod 5 Ch 3
504	2	16384	0	Mod 5 Ch 4
505	2	16384	0	Mod 5 Ch 5
506	2	16384	0	Mod 5 Ch 6
507	2	16384	0	Mod 5 Ch 7
508	2	16384	0	Mod 5 Ch 8
509	2	16384	0	Mod 5 Ch 9
510	2	16384	0	Mod 5 Ch 10
511	2	16384	0	Mod 5 Ch 11
512	2	16384	0	Mod 5 Ch 12
513	2	16384	0	Mod 5 Ch 13
514	2	16384	0	Mod 5 Ch 14
515	2	16384	0	Mod 5 Ch 15
600	2	16384	0	Mod 6 Ch 0
601	2	16384	0	Mod 6 Ch 1
602	2	16384	0	Mod 6 Ch 2
603	2	16384	0	Mod 6 Ch 3
604	2	16384	0	Mod 6 Ch 4
605	2	16384	0	Mod 6 Ch 5
606	2	16384	0	Mod 6 Ch 6
607	2	16384	0	Mod 6 Ch 7
608	2	16384	0	Mod 6 Ch 8
609	2	16384	0	Mod 6 Ch 9
610	2	16384	0	Mod 6 Ch 10
611	2	16384	0	Mod 6 Ch 11
612	2	16384	0	Mod 6 Ch 12
613	2	16384	0	Mod 6 Ch 13
614	2	16384	0	Mod 6 Ch 14
615	2	16384	0	Mod 6 Ch 15
700	2	16384	0	Mod 7 Ch 0
701	2	16384	0	Mod 7 Ch 1
702	2	16384	0	Mod 7 Ch 2
703	2	16384	0	Mod 7 Ch 3
704	2	16384	0	Mod 7 Ch 4
705	2	16384	0	Mod 7 Ch 5
706	2	16384	0	Mod 7 Ch 6
707	2	16384	0	Mod 7 Ch 7
708	2	16384	0	Mod 7 Ch 8
709	2	16384	0	Mod 7 Ch 9
710	2	16384	0	Mod 7 Ch 10
711	2	16384	0	Mod 7 Ch 11
712	2	16384	0	Mod 7 Ch 12
713	2	16384	0	Mod 7 Ch 13
714	2	16384	0	Mod 7 Ch 14
715	2	16384	0	Mod 7 Ch 15
800	2	16384	0	Mod 8 Ch 0
801	2	16384	0	Mod 8 Ch 1
802	2	16384	0	Mod 8 Ch 2
803	2	16384	0	Mod 8 Ch 3
804	2	16384	0	Mod 8 Ch 4
805	2	16384	0	Mod 8 Ch 5
806	2	16384	0	Mod 8 Ch 6
807	2	16384	0	Mod 8 Ch 7
808	2	16384	0	Mod 8 Ch 8
809	2	16384	0	Mod 8 Ch 9
810	2	16384	0	Mod 8 Ch 10
811	2	16384	0	Mod 8 Ch 11
812	2	16384	0	Mod 8 Ch 12
813	2	16384	0	Mod 8 Ch 13
814	2	16384	0	Mod 8 Ch 14
815	2	16384	0	Mod 8 Ch 15
900	2	16384	0	Mod 9 Ch 0
901	2	16384	0	Mod 9 Ch 1
902	2	16384	0	Mod 9 Ch 2
