#@authors K. Miernik, K. Smith
#ID	WORDS	CH X	CH Y	TITLE
100	1	16384	0	Mod 1 Ch 0
101	1	16384	0	Mod 1 Ch 1
102	1	16384	0	Mod 1 Ch 2
103	1	16384	0	Mod 1 Ch 3
104	1	16384	0	Mod 1 Ch 4
105	1	16384	0	Mod 1 Ch 5
106	1	16384	0	Mod 1 Ch 6
107	1	16384	0	Mod 1 Ch 7
108	1	16384	0	Mod 1 Ch 8
109	1	16384	0	Mod 1 Ch 9
110	1	16384	0	Mod 1 Ch 10
111	1	16384	0	Mod 1 Ch 11
112	1	16384	0	Mod 1 Ch 12
113	1	16384	0	Mod 1 Ch 13
114	1	16384	0	Mod 1 Ch 14
115	1	16384	0	Mod 1 Ch 15
200	1	16384	0	Mod 2 Ch 0
201	1	16384	0	Mod 2 Ch 1
202	1	16384	0	Mod 2 Ch 2
203	1	16384	0	Mod 2 Ch 3
204	1	16384	0	Mod 2 Ch 4
205	1	16384	0	Mod 2 Ch 5
206	1	16384	0	Mod 2 Ch 6
207	1	16384	0	Mod 2 Ch 7
208	1	16384	0	Mod 2 Ch 8
209	1	16384	0	Mod 2 Ch 9
210	1	16384	0	Mod 2 Ch 10
211	1	16384	0	Mod 2 Ch 11
212	1	16384	0	Mod 2 Ch 12
213	1	16384	0	Mod 2 Ch 13
214	1	16384	0	Mod 2 Ch 14
215	1	16384	0	Mod 2 Ch 15
215	1	16384	0	Mod 2 Ch 15
300	1	16384	0	Mod 3 Ch 0
301	1	16384	0	Mod 3 Ch 1
302	1	16384	0	Mod 3 Ch 2
303	1	16384	0	Mod 3 Ch 3
304	1	16384	0	Mod 3 Ch 4
305	1	16384	0	Mod 3 Ch 5
306	1	16384	0	Mod 3 Ch 6
307	1	16384	0	Mod 3 Ch 7
308	1	16384	0	Mod 3 Ch 8
309	1	16384	0	Mod 3 Ch 9
310	1	16384	0	Mod 3 Ch 10
311	1	16384	0	Mod 3 Ch 11
312	1	16384	0	Mod 3 Ch 12
313	1	16384	0	Mod 3 Ch 13
314	1	16384	0	Mod 3 Ch 14
315	1	16384	0	Mod 3 Ch 15
314	1	16384	0	Mod 3 Ch 14
315	1	16384	0	Mod 3 Ch 15
400	1	16384	0	Mod 4 Ch 0
401	1	16384	0	Mod 4 Ch 1
402	1	16384	0	Mod 4 Ch 2
403	1	16384	0	Mod 4 Ch 3
404	1	16384	0	Mod 4 Ch 4
405	1	16384	0	Mod 4 Ch 5
406	1	16384	0	Mod 4 Ch 6
407	1	16384	0	Mod 4 Ch 7
408	1	16384	0	Mod 4 Ch 8
409	1	16384	0	Mod 4 Ch 9
410	1	16384	0	Mod 4 Ch 10
411	1	16384	0	Mod 4 Ch 11
412	1	16384	0	Mod 4 Ch 12
413	1	16384	0	Mod 4 Ch 13
414	1	16384	0	Mod 4 Ch 14
415	1	16384	0	Mod 4 Ch 15
500	1	16384	0	Mod 5 Ch 0
501	1	16384	0	Mod 5 Ch 1
502	1	16384	0	Mod 5 Ch 2
503	1	16384	0	Mod 5 Ch 3
504	1	16384	0	Mod 5 Ch 4
505	1	16384	0	Mod 5 Ch 5
506	1	16384	0	Mod 5 Ch 6
507	1	16384	0	Mod 5 Ch 7
508	1	16384	0	Mod 5 Ch 8
509	1	16384	0	Mod 5 Ch 9
510	1	16384	0	Mod 5 Ch 10
511	1	16384	0	Mod 5 Ch 11
512	1	16384	0	Mod 5 Ch 12
513	1	16384	0	Mod 5 Ch 13
514	1	16384	0	Mod 5 Ch 14
515	1	16384	0	Mod 5 Ch 15
600	1	16384	0	Mod 6 Ch 0
601	1	16384	0	Mod 6 Ch 1
602	1	16384	0	Mod 6 Ch 2
603	1	16384	0	Mod 6 Ch 3
604	1	16384	0	Mod 6 Ch 4
605	1	16384	0	Mod 6 Ch 5
606	1	16384	0	Mod 6 Ch 6
607	1	16384	0	Mod 6 Ch 7
608	1	16384	0	Mod 6 Ch 8
609	1	16384	0	Mod 6 Ch 9
610	1	16384	0	Mod 6 Ch 10
611	1	16384	0	Mod 6 Ch 11
612	1	16384	0	Mod 6 Ch 12
613	1	16384	0	Mod 6 Ch 13
614	1	16384	0	Mod 6 Ch 14
615	1	16384	0	Mod 6 Ch 15
615	1	16384	0	Mod 6 Ch 15
700	1	16384	0	Mod 7 Ch 0
701	1	16384	0	Mod 7 Ch 1
702	1	16384	0	Mod 7 Ch 2
703	1	16384	0	Mod 7 Ch 3
704	1	16384	0	Mod 7 Ch 4
705	1	16384	0	Mod 7 Ch 5
706	1	16384	0	Mod 7 Ch 6
707	1	16384	0	Mod 7 Ch 7
708	1	16384	0	Mod 7 Ch 8
709	1	16384	0	Mod 7 Ch 9
710	1	16384	0	Mod 7 Ch 10
711	1	16384	0	Mod 7 Ch 11
712	1	16384	0	Mod 7 Ch 12
713	1	16384	0	Mod 7 Ch 13
714	1	16384	0	Mod 7 Ch 14
715	1	16384	0	Mod 7 Ch 15
800	1	16384	0	Mod 8 Ch 0
801	1	16384	0	Mod 8 Ch 1
802	1	16384	0	Mod 8 Ch 2
803	1	16384	0	Mod 8 Ch 3
804	1	16384	0	Mod 8 Ch 4
805	1	16384	0	Mod 8 Ch 5
806	1	16384	0	Mod 8 Ch 6
807	1	16384	0	Mod 8 Ch 7
808	1	16384	0	Mod 8 Ch 8
809	1	16384	0	Mod 8 Ch 9
810	1	16384	0	Mod 8 Ch 10
811	1	16384	0	Mod 8 Ch 11
812	1	16384	0	Mod 8 Ch 12
813	1	16384	0	Mod 8 Ch 13
814	1	16384	0	Mod 8 Ch 14
815	1	16384	0	Mod 8 Ch 15
900	1	16384	0	Mod 9 Ch 0
901	1	16384	0	Mod 9 Ch 1
902	1	16384	0	Mod 9 Ch 2
903	1	16384	0	Mod 9 Ch 3
904	1	16384	0	Mod 9 Ch 4
905	1	16384	0	Mod 9 Ch 5
906	1	16384	0	Mod 9 Ch 6
907	1	16384	0	Mod 9 Ch 7
908	1	16384	0	Mod 9 Ch 8
909	1	16384	0	Mod 9 Ch 9
910	1	16384	0	Mod 9 Ch 10
911	1	16384	0	Mod 9 Ch 11
912	1	16384	0	Mod 9 Ch 12
913	1	16384	0	Mod 9 Ch 13
914	1	16384	0	Mod 9 Ch 14
915	1	16384	0	Mod 9 Ch 15
1000	1	16384	0	Mod 10 Ch 0
1001	1	16384	0	Mod 10 Ch 1
1002	1	16384	0	Mod 10 Ch 2
1003	1	16384	0	Mod 10 Ch 3
1004	1	16384	0	Mod 10 Ch 4
1005	1	16384	0	Mod 10 Ch 5
1006	1	16384	0	Mod 10 Ch 6
1007	1	16384	0	Mod 10 Ch 7
1008	1	16384	0	Mod 10 Ch 8
1009	1	16384	0	Mod 10 Ch 9
1010	1	16384	0	Mod 10 Ch 10
1011	1	16384	0	Mod 10 Ch 11
1012	1	16384	0	Mod 10 Ch 12
1013	1	16384	0	Mod 10 Ch 13
1014	1	16384	0	Mod 10 Ch 14
1015	1	16384	0	Mod 10 Ch 15
1015	1	16384	0	Mod 10 Ch 15
1100	1	16384	0	Mod 11 Ch 0
1101	1	16384	0	Mod 11 Ch 1
1102	1	16384	0	Mod 11 Ch 2
1103	1	16384	0	Mod 11 Ch 3
1104	1	16384	0	Mod 11 Ch 4
1105	1	16384	0	Mod 11 Ch 5
1106	1	16384	0	Mod 11 Ch 6
1107	1	16384	0	Mod 11 Ch 7
1108	1	16384	0	Mod 11 Ch 8
1109	1	16384	0	Mod 11 Ch 9
1110	1	16384	0	Mod 11 Ch 10
1111	1	16384	0	Mod 11 Ch 11
1112	1	16384	0	Mod 11 Ch 12
1113	1	16384	0	Mod 11 Ch 13
1114	1	16384	0	Mod 11 Ch 14
1115	1	16384	0	Mod 11 Ch 15
1114	1	16384	0	Mod 11 Ch 14
1115	1	16384	0	Mod 11 Ch 15
1200	1	16384	0	Mod 12 Ch 0
1201	1	16384	0	Mod 12 Ch 1
1202	1	16384	0	Mod 12 Ch 2
1203	1	16384	0	Mod 12 Ch 3
1204	1	16384	0	Mod 12 Ch 4
1205	1	16384	0	Mod 12 Ch 5
1206	1	16384	0	Mod 12 Ch 6
1207	1	16384	0	Mod 12 Ch 7
1208	1	16384	0	Mod 12 Ch 8
1209	1	16384	0	Mod 12 Ch 9
1210	1	16384	0	Mod 12 Ch 10
1211	1	16384	0	Mod 12 Ch 11
1212	1	16384	0	Mod 12 Ch 12
1213	1	16384	0	Mod 12 Ch 13
1214	1	16384	0	Mod 12 Ch 14
1215	1	16384	0	Mod 12 Ch 15
1300	1	16384	0	Mod 13 Ch 0
1301	1	16384	0	Mod 13 Ch 1
1302	1	16384	0	Mod 13 Ch 2
1303	1	16384	0	Mod 13 Ch 3
1304	1	16384	0	Mod 13 Ch 4
1305	1	16384	0	Mod 13 Ch 5
1306	1	16384	0	Mod 13 Ch 6
1307	1	16384	0	Mod 13 Ch 7
1308	1	16384	0	Mod 13 Ch 8
1309	1	16384	0	Mod 13 Ch 9
1310	1	16384	0	Mod 13 Ch 10
1311	1	16384	0	Mod 13 Ch 11
1312	1	16384	0	Mod 13 Ch 12
