% Krzysztof Miernik
% Test 15/12/2010
% see map.txt.km
%
%loc 	type	subtyp	n  ord	thresh	pol0	pol1	pol2
1	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
2	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
3	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
4	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
5	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
6	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
7	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
8	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
9	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
10	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
11	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
12	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
13	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
14	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
15	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
16	ssd	ssd_1  1  2   0.0	0.0	1.0	0.0
17	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
18	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
19	ssd     ssd_2  1  2   0.0	0.0	1.0	0.0
20	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
21	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
22	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
23	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
24	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
25	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
26	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
27	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
28	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
29	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
30	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
31	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
32	ssd	ssd_2  1  2   0.0	0.0	1.0	0.0
33	ssd	ssd_3  1  2   0.0	0.0	1.0	0.0
34	ssd	ssd_3  1  2   0.0	0.0	1.0	0.0
35	ssd	ssd_3  1  2   0.0	0.0	1.0	0.0
36	ssd	ssd_3  1  2   0.0	0.0	1.0	0.0
37	ssd	ssd_3  1  2   0.0	0.0	1.0	0.0
38	ssd	ssd_3  1  2   0.0	0.0	1.0	0.0
39	ssd	ssd_3  1  2   0.0	0.0	1.0	0.0
40	ssd	ssd_3  1  2   0.0	0.0	1.0	0.0
41      ssd     ssd_3       1   2   0.0   0.0          1.0     0.0
42      ssd	ssd_3       1   2   0.0   0.0          1.0     0.0
43      ssd  	ssd_3       1   2   0.0   0.0          1.0     0.0
44      ssd  	ssd_3       1   2   0.0   0.0          1.0     0.0
45      ssd  	ssd_3       1   2   0.0   0.0          1.0     0.0
46      ssd  	ssd_3       1   2   0.0   0.0          1.0     0.0
47      ssd  	ssd_3       1   2   0.0   0.0          1.0     0.0
48      ssd  	ssd_3       1   2   0.0   0.0          1.0     0.0
49	ssd	ssd_4  1  2   0.0	0.0	1.0	0.0
50	ssd	ssd_4  1  2   0.0	0.0	1.0	0.0
51	ssd	ssd_4  1  2   0.0	0.0	1.0	0.0
52	ssd	ssd_4  1  2   0.0	0.0	1.0	0.0
