#loc subtype r0 xOffset zOffset lrtOffset tofOffset0 tofOffset1
#VANDLE BARS
0 small 50.5 1.0 0.00 0.000 0 0
1 small 50.5 -.9 0.00 0.000 0 0
2 small 50.5 .6 0.00 0.000 0 0
3 small 50.5 -.6 0.00 0.000 0 0
4 small 50.5 -1.8 0.00 0.000 0 0
5 small 50.5 -.8 0.00 0.000 0 0
6 small 50.5 -.1 0.00 0.000 0 0
7 small 50.5 1.4 0.00 0.000 0 0
8 small 50.5 -1.6 0.00 0.000 0 0
9 small 50.5 .1 0.00 0.000 0 0
10 small 50.5 -.8 0.00 0.000 0 0
11 small 50.5 .2 0.00 0.000 0 0
12 small 50.5 .3 0.00 0.000 0 0
13 small 50.5 -1.2 0.00 0.000 0 0
14 small 50.5 -.3 0.00 0.000 0 0
15 small 50.5 -.5 0.00 0.000 0 0
16 small 50.5 .4 0.00 0.000 0 0
17 small 50.5 -.7 0.00 0.000 0 0
18 small 50.5 -.6 0.00 0.000 0 0
19 small 50.5 .3 0.00 0.000 0 0
20 small 50.5 -.7 0.00 0.000 0 0
21 small 50.5 1.3 0.00 0.000 0 0
22 small 50.5 -.2 0.00 0.000 0 0
23 small 50.5 -.4 0.00 0.000 0 0
24 small 50.5 1.2 0.00 0.000 0 0
25 small 50.5 -.2 0.00 0.000 0 0
26 small 50.5 1.9 0.00 0.000 0 0
27 small 50.5 -.4 0.00 0.000 0 0
28 small 50.5 .5 0.00 0.000 0 0
29 small 50.5 2.7 0.00 0.000 0 0
30 small 50.5 2.6 0.00 0.000 0 0
31 small 50.5 .40 0.00 0.000 0 0
32 small 50.5 1.0 0.00 0.000 0 0
33 small 50.5 -1.0 0.00 0.000 0 0
34 small 50.5 1.0 0.00 0.000 0 0
35 small 50.5 -.40 0.00 0.000 0 0
36 small 50.5 0.0 0.00 0.000 0 0
37 small 50.5 1.2 0.00 0.000 0 0
38 small 50.5 -1.0 0.00 0.000 0 0
39 small 50.5 .6 0.00 0.000 0 0
40 small 50.5 -2.1 0.00 0.000 0 0
41 small 50.5 .7 0.00 0.000 0 0
42 small 50.5 0.00 0.00 0.000 0 0
43 small 50.5 -1.7 0.00 0.000 0 0
44 small 50.5 -2.9 0.00 0.000 0 0
45 small 50.5 -1.8 0.00 0.000 0 0
46 small 50.5 .2 0.00 0.000 0 0
47 small 50.5 -1.2 0.00 0.000 0 0

0 big 50.5 -1.2 0.00 0.000 0.0 0.0
1 big 50.5 -1.2 0.00 0.000 0.0 0.0
2 big 50.5 -1.2 0.00 0.000 0.0 0.0 
3 big 50.5 -1.2 0.00 0.000 0.0 0.0

#Betas
0 beta  1.27   00.0   0.00   0.000  0.000  0.00
1 beta  1.27   00.0   0.00   0.000  0.000  0.00

#Liquid Scintillators
0 liquid 60.0   00.0   0.00   0.00   0.00   0.00
1 liquid 60.0   00.0   0.00   0.00   0.00   0.00




