#loc subtype r0 xOffset zOffset lrtOffset tofOffset0 tofOffset1
#VANDLE BARS
0 small 50.5 1.0 0.00 -4.95 5.483 -3.567
1 small 50.5 -.9 0.00 -4.45 2.483 -6.567
2 small 50.5 .6 0.00 -4.4 5.733 -3.367
3 small 50.5 -.6 0.00 0.7 0.683 -8.367
4 small 50.5 -1.8 0.00 -3.5 6.683 -2.517
5 small 50.5 -.8 0.00 3.4 2.233 -6.917
6 small 50.5 -.1 0.00 -4.65 1.433 -7.817
7 small 50.5 1.4 0.00 4.4 3.133 -6.217
8 small 50.5 -1.6 0.00 -3.85 8.133 -1.067
9 small 50.5 .1 0.00 3.8 3.783 -5.467
10 small 50.5 -.8 0.00 -3.15 7.483 -1.767
11 small 50.5 .2 0.00 1.15 1.833 -7.467
12 small 50.5 .3 0.00 -11.05 4.233 -4.967
13 small 50.5 -1.2 0.00 0.6 2.083 -7.167
14 small 50.5 -.3 0.00 -8.7 2.083 -7.167
15 small 50.5 -.5 0.00 -4.15 1.033 -8.267
16 small 50.5 .4 0.00 -8.15 2.333 -6.967
17 small 50.5 -.7 0.00 -3.95 1.883 -7.317
18 small 50.5 -.6 0.00 -13 5.583 -3.567
19 small 50.5 .3 0.00 -4.3 4.033 -5.117
20 small 50.5 -.7 0.00 -4.5 0.833 -8.167
21 small 50.5 1.3 0.00 -3.15 5.583 -3.367
22 small 50.5 -.2 0.00 0.3 3.783 -5.367
23 small 50.5 -.4 0.00 -8.2 3.033 -6.017
24 small 50.5 1.2 0.00 -5.5 4.733 -4.567
25 small 50.5 -.2 0.00 -3.25 3.333 -5.917
26 small 50.5 1.9 0.00 -0.7 6.633 -2.517
27 small 50.5 -.4 0.00 -3.5 4.083 -5.017
28 small 50.5 .5 0.00 -6.9 2.183 -6.867
29 small 50.5 2.7 0.00 -3.1 3.333 -5.867
30 small 50.5 2.6 0.00 -8 3.783 -5.267
31 small 50.5 .40 0.00 -3.55 0.233 -8.767
32 small 50.5 1.0 0.00 -7.1 3.733 -5.317
33 small 50.5 -1.0 0.00 4.4 1.533 -7.467
34 small 50.5 1.0 0.00 0.15 4.683 -4.317
35 small 50.5 -.40 0.00 1.1 5.383 -3.567
36 small 50.5 0.0 0.00 -1.8 4.983 -4.017
37 small 50.5 1.2 0.00 1.05 4.883 -4.067
38 small 50.5 -1.0 0.00 1.7 4.833 -4.217
39 small 50.5 .6 0.00 1.45 2.933 -6.067
40 small 50.5 -2.1 0.00 -7.5 5.983 -3.017
41 small 50.5 .7 0.00 -6.25 4.183 -4.917
42 small 50.5 0.00 0.00 -5.2 4.233 -4.867
43 small 50.5 -1.7 0.00 -4.55 4.733 -4.417
44 small 50.5 -2.9 0.00 -4.8 5.933 -3.217
45 small 50.5 -1.8 0.00 4.05 4.583 -4.517
46 small 50.5 .2 0.00 -5.95 4.233 -4.917
47 small 50.5 -1.2 0.00 -1 1.883 -7.317

0 big 50.5 -1.2 0.00 0.000 0.0 0.0
0 big 50.5 -1.2 0.00 0.000 0.0 0.0
1 big 50.5 -1.2 0.00 0.000 0.0 0.0 
1 big 50.5 -1.2 0.00 0.000 0.0 0.0
2 big 50.5 -1.2 0.00 0.000 0.0 0.0 
2 big 50.5 -1.2 0.00 0.000 0.0 0.0
3 big 50.5 -1.2 0.00 0.000 0.0 0.0 
3 big 50.5 -1.2 0.00 0.000 0.0 0.0

#Betas
0 beta  1.27   00.0   0.00   0.000  0.000  0.00
1 beta  1.27   00.0   0.00   0.000  0.000  0.00

#Liquid Scintillators
0 liquid 60.0   00.0   0.00   0.00   0.00   0.00
1 liquid 60.0   00.0   0.00   0.00   0.00   0.00




